l_id,longitude,latitude
0,-87.62988,41.88445
1,-87.650002,41.919998
2,-87.66162,41.947105
3,-87.63252,41.889183
4,-87.669998,41.900002
5,-87.68277,41.90131
6,-87.650002,41.939999
7,-87.66501,41.896103
8,-87.630135,41.905666
9,-87.66373,41.927147
10,-87.66393,41.944443
11,-87.650002,41.939999
12,-87.660695,41.940068
13,-87.656084,41.946184
14,-87.627545,41.875538
15,-87.62871,41.883213
16,-87.747086,41.990032
17,-87.649025,41.933765
18,-87.683205,41.917889
19,-87.649078,41.908682
20,-87.633744,41.904175
21,-87.66501,41.896103
22,-87.609615,41.891975
23,-87.845528,41.96638
24,-87.685352,41.964242
25,-87.754042,41.9601
26,-87.642906,41.898746
27,-87.643108,41.720952
28,-87.590855,41.784145
29,-87.676496,41.9035
30,-87.625855,41.89171
31,-87.625398,41.867719
32,-87.678879,41.943134
33,-87.624254,41.8907
34,-87.757049,41.962969
35,-87.668076,42.015923
36,-87.760405,41.968015
37,-87.63002,41.90506
38,-87.621982,41.892774
39,-87.65586,41.94639
40,-87.66114,41.919308
41,-87.643623,41.8965
42,-87.66159,41.896152
43,-87.660065,41.982727
44,-87.620755,41.886955
45,-87.68034,41.912254
46,-87.644356,41.91097
47,-87.690163,41.961557
48,-87.62754,41.875248
49,-87.635389,41.896566
50,-87.708802,41.980301
51,-87.625129,41.892119
52,-87.660294,41.939552
53,-87.645729,41.932901
54,-87.600412,41.794918
55,-87.76112,41.997534
56,-87.624955,41.883305
57,-87.624208,41.891767
58,-87.627487,41.860435
59,-87.358484,41.422637
60,-87.668561,41.975897
61,-87.705089,41.927906
62,-87.626742,41.891742
63,-87.70743,41.929577
64,-87.7102,41.934478
65,-87.627385,41.884213
66,-87.695425,41.911277
67,-87.636869,41.917332
68,-87.769574,41.956824
69,-87.624208,41.891767
70,-87.639199,41.868261
71,-87.697668,41.922116
72,-87.723419,41.959181
73,-87.723397,41.959076
74,-87.679496,41.911721
75,-87.629799,41.878113
76,-87.657391,41.939601
77,-87.671425,41.903431
78,-87.66008,41.983288
79,-87.692955,41.927605
80,-87.693757,41.968077
81,-87.644249,41.938652
82,-87.6636,41.933697
83,-87.687576,41.939156
84,-87.627922,41.860416
85,-87.692955,41.927605
86,-87.623473,41.894146
87,-87.623474,41.894146
88,-87.629799,41.878113
89,-88.423103,41.359291
90,-87.706208,41.963379
91,-87.706207,41.963379
92,-87.64433,41.938503
93,-87.624504,41.882164
94,-87.719284,41.85276
95,-87.617599,41.885521
96,-87.624245,41.85815
97,-87.688507,41.916019
98,-87.685254,41.963525
99,-87.669044,41.940247
100,-87.625884,41.8925
101,-87.653282,41.956863
102,-87.624352,41.895313
103,-87.624361,41.88446
104,-87.695427,41.911278
105,-87.628815,41.90424
106,-87.757835,41.972633
107,-87.688504,41.91602
108,-87.629997,41.889999
109,-87.726662,41.863792
110,-87.653816,41.934826
111,-87.624367,41.889286
112,-87.628288,41.885487
113,-87.68535,41.96424
114,-87.645821,41.932686
115,-87.706207,41.963379
116,-87.672836,41.889088
117,-87.688507,41.916019
118,-87.661415,41.952942
119,-87.655546,41.946439
120,-87.661415,41.952942
121,-87.754944,41.938835
122,-87.754944,41.938835
123,-87.645821,41.932686
124,-87.61274,41.854092
